"WTSCI05.Code.or.Value","WTSCI05.Value.Description","WTSCI05.Count","WTSCI05.Cumulative","WTSCI05.Skip.to.Item"
"0 to 463108.88205","Range of Values",727,727,NA
".","Missing",51,778,NA
