"LBXSAPSI.Code.or.Value","LBXSAPSI.Value.Description","LBXSAPSI.Count","LBXSAPSI.Cumulative","LBXSAPSI.Skip.to.Item"
"16 to 638","Range of Values",5903,5903,NA
".","Missing",498,6401,NA
