"AIALANG.Code.or.Value","AIALANG.Value.Description","AIALANG.Count","AIALANG.Cumulative","AIALANG.Skip.to.Item"
"1","English",4735,4735,NA
"2","Spanish",753,5488,NA
".","Missing",5049,10537,NA
