"WTIREP42.Code.or.Value","WTIREP42.Value.Description","WTIREP42.Count","WTIREP42.Cumulative","WTIREP42.Skip.to.Item"
"0 to 239610.85071","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
