"LBXSKSI.Code.or.Value","LBXSKSI.Value.Description","LBXSKSI.Count","LBXSKSI.Cumulative","LBXSKSI.Skip.to.Item"
"2.8 to 6.6","Range of Values",5899,5899,NA
".","Missing",502,6401,NA
