"AUDTYL20.Code.or.Value","AUDTYL20.Value.Description","AUDTYL20.Count","AUDTYL20.Cumulative","AUDTYL20.Skip.to.Item"
"0 to 2.38","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
