"SDNPFOSL.Code.or.Value","SDNPFOSL.Value.Description","SDNPFOSL.Count","SDNPFOSL.Cumulative","SDNPFOSL.Skip.to.Item"
"0","At or above the detection limit",1935,1935,NA
"1","Below lower detection limit",19,1954,NA
".","Missing",0,1954,NA
