"PAXTRANM.Code.or.Value","PAXTRANM.Value.Description","PAXTRANM.Count","PAXTRANM.Cumulative","PAXTRANM.Skip.to.Item"
"0","False",87709322,87709322,NA
"1","True",514157,88223479,NA
"< blank >","Missing",0,88223479,NA
