"DR1TS060.Code.or.Value","DR1TS060.Value.Description","DR1TS060.Count","DR1TS060.Cumulative","DR1TS060.Skip.to.Item"
"0 to 4.99","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
