"DS2ISUGR.Code.or.Value","DS2ISUGR.Value.Description","DS2ISUGR.Count","DS2ISUGR.Cumulative","DS2ISUGR.Skip.to.Item"
"0.15 to 36","Range of Values",554,554,NA
".","Missing",5222,5776,NA
