"LBXBL2.Code.or.Value","LBXBL2.Value.Description","LBXBL2.Count","LBXBL2.Cumulative","LBXBL2.Skip.to.Item"
"1","Negative",0,0,NA
"2","Positive",0,0,NA
"3","No result",0,0,NA
".","Missing",9179,9179,NA
