"RHD451.Code.or.Value","RHD451.Value.Description","RHD451.Count","RHD451.Cumulative","RHD451.Skip.to.Item"
"12 to 59","Range of Values",1416,1416,NA
"777","Refused",0,1416,NA
"999","Don't know",38,1454,NA
".","Missing",2143,3597,NA
