"AGQ070.Code.or.Value","AGQ070.Value.Description","AGQ070.Count","AGQ070.Cumulative","AGQ070.Skip.to.Item"
"1","Yes",80,80,""
"2","No",9742,9822,"AGQ090"
"7","Refused",0,9822,"AGQ090"
"9","Don't know",0,9822,"AGQ090"
".","Missing",0,9822,""
