"CFDCIR.Code.or.Value","CFDCIR.Value.Description","CFDCIR.Count","CFDCIR.Cumulative","CFDCIR.Skip.to.Item"
"0 to 8","Range of Values",1672,1672,NA
".","Missing",113,1785,NA
