"WTSPO17.Code.or.Value","WTSPO17.Value.Description","WTSPO17.Count","WTSPO17.Cumulative","WTSPO17.Skip.to.Item"
"0.0000000 to 848988.2334500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
