"TYXP143.Code.or.Value","TYXP143.Value.Description","TYXP143.Count","TYXP143.Cumulative","TYXP143.Skip.to.Item"
"-297 to 102","Range of Values",3880,3880,NA
".","Missing",1705,5585,NA
