"DS1TVD.Code.or.Value","DS1TVD.Value.Description","DS1TVD.Count","DS1TVD.Cumulative","DS1TVD.Skip.to.Item"
"0.63 to 2570","Range of Values",1839,1839,NA
".","Missing",6865,8704,NA
