"BPQ052.Code.or.Value","BPQ052.Value.Description","BPQ052.Count","BPQ052.Cumulative","BPQ052.Skip.to.Item"
"1","Yes",336,336,"BPQ055"
"2","No",6142,6478,""
"7","Refused",0,6478,""
"9","Don't know",68,6546,""
".","Missing",0,6546,""
