"OPDSTIL.Code.or.Value","OPDSTIL.Value.Description","OPDSTIL.Count","OPDSTIL.Cumulative","OPDSTIL.Skip.to.Item"
"0","No",397,397,NA
"1","Yes",10,407,NA
"3","Ungradable",7,414,NA
".","Missing",3449,3863,NA
