"MCQ260BC.Code.or.Value","MCQ260BC.Value.Description","MCQ260BC.Count","MCQ260BC.Cumulative","MCQ260BC.Skip.to.Item"
"3","Mother's mother",127,127,"MCQ250C"
".","Missing",9518,9645,""
