"RXD331Q.Code.or.Value","RXD331Q.Value.Description","RXD331Q.Count","RXD331Q.Cumulative","RXD331Q.Skip.to.Item"
"1 to 23","Range of Values",924,924,NA
"7777","Refused",0,924,NA
"9999","Don't know",0,924,NA
".","Missing",4319,5243,NA
