"WBXP039.Code.or.Value","WBXP039.Value.Description","WBXP039.Count","WBXP039.Cumulative","WBXP039.Skip.to.Item"
"-63.8058 to 147.3695","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
