"DXDLLTOT.Code.or.Value","DXDLLTOT.Value.Description","DXDLLTOT.Count","DXDLLTOT.Cumulative","DXDLLTOT.Skip.to.Item"
"3261.8 to 40056.9","Range of Values",3981,3981,NA
".","Missing",1133,5114,NA
