"WBXA055.Code.or.Value","WBXA055.Value.Description","WBXA055.Count","WBXA055.Cumulative","WBXA055.Skip.to.Item"
"-5.9781 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
