"URDMHHLC.Code.or.Value","URDMHHLC.Value.Description","URDMHHLC.Count","URDMHHLC.Cumulative","URDMHHLC.Skip.to.Item"
"0","At or above the detection limit",2735,2735,NA
"1","Below lower detection limit",27,2762,NA
".","Missing",224,2986,NA
