"BIXS582K.Code.or.Value","BIXS582K.Value.Description","BIXS582K.Count","BIXS582K.Cumulative","BIXS582K.Skip.to.Item"
"171.43 to 824.26","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
