"MGQ90DG.Code.or.Value","MGQ90DG.Value.Description","MGQ90DG.Count","MGQ90DG.Cumulative","MGQ90DG.Skip.to.Item"
"1","Yes",7750,7750,NA
"2","No - Not right hand",24,7774,NA
"3","No - Not left hand",14,7788,NA
"4","No - Not either hand",19,7807,NA
".","Missing",484,8291,NA
