"AGQ030.Code.or.Value","AGQ030.Value.Description","AGQ030.Count","AGQ030.Cumulative","AGQ030.Skip.to.Item"
"1","Yes",196,196,NA
"2","No",624,820,NA
"7","Refused",0,820,NA
"9","Don't know",5,825,NA
".","Missing",8072,8897,NA
