"ARQ024A.Code.or.Value","ARQ024A.Value.Description","ARQ024A.Count","ARQ024A.Cumulative","ARQ024A.Skip.to.Item"
"1","Yes",359,359,NA
"2","No",177,536,NA
"7","Refused",0,536,NA
"9","Don't know",2,538,NA
".","Missing",4568,5106,NA
