"LBXV1D.Code.or.Value","LBXV1D.Value.Description","LBXV1D.Count","LBXV1D.Cumulative","LBXV1D.Skip.to.Item"
"0.018 to 0.046","Range of Values",2842,2842,NA
".","Missing",330,3172,NA
