"LBXETH.Code.or.Value","LBXETH.Value.Description","LBXETH.Count","LBXETH.Cumulative","LBXETH.Skip.to.Item"
"1","Positive",20,20,NA
"2","Negative",350,370,NA
".","Missing",8809,9179,NA
