"WBXF062.Code.or.Value","WBXF062.Value.Description","WBXF062.Count","WBXF062.Cumulative","WBXF062.Skip.to.Item"
"2181.0155 to 2181.0155","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
