"WHD040.Code.or.Value","WHD040.Value.Description","WHD040.Count","WHD040.Cumulative","WHD040.Skip.to.Item"
"1","More,",525,525,NA
"2","Less, or",3251,3776,NA
"3","Stay about the same?",2236,6012,NA
"7","Refused",6,6018,NA
"9","Don't know",21,6039,NA
".","Missing",5,6044,NA
