"RFXC156.Code.or.Value","RFXC156.Value.Description","RFXC156.Count","RFXC156.Cumulative","RFXC156.Skip.to.Item"
"-7.051 to 6.17","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
