"RFXT017.Code.or.Value","RFXT017.Value.Description","RFXT017.Count","RFXT017.Cumulative","RFXT017.Skip.to.Item"
"133 to 141","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
