"ARQ030E.Code.or.Value","ARQ030E.Value.Description","ARQ030E.Count","ARQ030E.Cumulative","ARQ030E.Skip.to.Item"
"1","Yes",430,430,NA
"2","No",990,1420,NA
"7","Refused",0,1420,NA
"9","Don't know",2,1422,NA
".","Missing",3684,5106,NA
