"WTSPO11.Code.or.Value","WTSPO11.Value.Description","WTSPO11.Count","WTSPO11.Cumulative","WTSPO11.Skip.to.Item"
"0.0000000 to 866821.0994100","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
