"MCQ114.Code.or.Value","MCQ114.Value.Description","MCQ114.Count","MCQ114.Cumulative","MCQ114.Skip.to.Item"
"1","Yes",441,441,""
"2","No",747,1188,"MCQ120A"
"7","Refused",0,1188,"MCQ120A"
"9","Don't know",79,1267,"MCQ120A"
".","Missing",8378,9645,""
