"BAQ100.Code.or.Value","BAQ100.Value.Description","BAQ100.Count","BAQ100.Cumulative","BAQ100.Skip.to.Item"
"1","Yes",607,607,NA
"2","No",2503,3110,NA
"7","Refused",0,3110,NA
"9","Don't know",189,3299,NA
".","Missing",0,3299,NA
