"WTSHM02.Code.or.Value","WTSHM02.Value.Description","WTSHM02.Count","WTSHM02.Cumulative","WTSHM02.Skip.to.Item"
"0.0000000 to 760522.7130400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
