"DEQ1FHOT.Code.or.Value","DEQ1FHOT.Value.Description","DEQ1FHOT.Count","DEQ1FHOT.Cumulative","DEQ1FHOT.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
