"DXXPT79X.Code.or.Value","DXXPT79X.Value.Description","DXXPT79X.Count","DXXPT79X.Cumulative","DXXPT79X.Skip.to.Item"
"662.9 to 1193.9","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
