"DXXNKBMD.Code.or.Value","DXXNKBMD.Value.Description","DXXNKBMD.Count","DXXNKBMD.Cumulative","DXXNKBMD.Skip.to.Item"
"0.144 to 1.421","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
