"OHXIMP.Code.or.Value","OHXIMP.Value.Description","OHXIMP.Count","OHXIMP.Cumulative","OHXIMP.Skip.to.Item"
"1","Yes",237,237,NA
"2","No",5788,6025,NA
".","Missing",2341,8366,NA
