"CVDR3SY.Code.or.Value","CVDR3SY.Value.Description","CVDR3SY.Count","CVDR3SY.Cumulative","CVDR3SY.Skip.to.Item"
"59 to 233","Range of Values",2141,2141,NA
".","Missing",2522,4663,NA
