"WTSBA10.Code.or.Value","WTSBA10.Value.Description","WTSBA10.Count","WTSBA10.Cumulative","WTSBA10.Skip.to.Item"
"0 to 363238.91886","Range of Values",946,946,NA
".","Missing",65,1011,NA
