"SSPFHS.Code.or.Value","SSPFHS.Value.Description","SSPFHS.Count","SSPFHS.Cumulative","SSPFHS.Skip.to.Item"
"0.07 to 0.1","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
