"LBD167LC.Code.or.Value","LBD167LC.Value.Description","LBD167LC.Count","LBD167LC.Cumulative","LBD167LC.Skip.to.Item"
"0","At or above the detection limit",178,178,NA
"1","Below lower detection limit",82,260,NA
".","Missing",5,265,NA
