"MSXW08TM.Code.or.Value","MSXW08TM.Value.Description","MSXW08TM.Count","MSXW08TM.Cumulative","MSXW08TM.Skip.to.Item"
"1.32 to 17.45","Range of Values",2027,2027,NA
".","Missing",266,2293,NA
