"WBXP090.Code.or.Value","WBXP090.Value.Description","WBXP090.Count","WBXP090.Cumulative","WBXP090.Skip.to.Item"
"-178.5048 to 156.0213","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
