"WTSHM10.Code.or.Value","WTSHM10.Value.Description","WTSHM10.Count","WTSHM10.Cumulative","WTSHM10.Skip.to.Item"
"0.0000000 to 749367.2485700","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
