"URXUTRI.Code.or.Value","URXUTRI.Value.Description","URXUTRI.Count","URXUTRI.Cumulative","URXUTRI.Skip.to.Item"
"1","Positive",92,92,NA
"2","Negative",3742,3834,NA
"3","Indeterminate",0,3834,NA
".","Missing",92,3926,NA
