"URDACT2.Code.or.Value","URDACT2.Value.Description","URDACT2.Count","URDACT2.Cumulative","URDACT2.Skip.to.Item"
"0.33 to 8817.39","Range of Values",7361,7361,NA
".","Missing",1230,8591,NA
