"URX5NDA.Code.or.Value","URX5NDA.Value.Description","URX5NDA.Count","URX5NDA.Cumulative","URX5NDA.Skip.to.Item"
"0.71 to 3.68","Range of Values",2758,2758,NA
".","Missing",521,3279,NA
