"AUDTYL67.Code.or.Value","AUDTYL67.Value.Description","AUDTYL67.Count","AUDTYL67.Cumulative","AUDTYL67.Skip.to.Item"
"0 to 2.09","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
