"PSQ170A.Code.or.Value","PSQ170A.Value.Description","PSQ170A.Count","PSQ170A.Cumulative","PSQ170A.Skip.to.Item"
"1","Yes",4,4,NA
"2","No",6,10,NA
"7","Refused",0,10,NA
"9","Don't know",3,13,NA
".","Missing",39,52,NA
