"PSQ110.Code.or.Value","PSQ110.Value.Description","PSQ110.Count","PSQ110.Cumulative","PSQ110.Skip.to.Item"
"1","Yes",23,23,"PSQ130A"
"2","No",1,24,""
"7","Refused",0,24,""
"9","Don't know",0,24,""
".","Missing",28,52,""
