"OSD030bb.Code.or.Value","OSD030bb.Value.Description","OSD030bb.Count","OSD030bb.Cumulative","OSD030bb.Skip.to.Item"
"7 to 77","Range of Values",58,58,NA
"80","80 or older",3,61,NA
"77777","Refused",0,61,NA
"99999","Don't know",0,61,NA
".","Missing",3008,3069,NA
