"OSQ120f.Code.or.Value","OSQ120f.Value.Description","OSQ120f.Count","OSQ120f.Cumulative","OSQ120f.Skip.to.Item"
"1","Yes",12,12,""
"2","No",10,22,"OSQ060"
"7","Refused",0,22,"OSQ060"
"9","Don't know",1,23,"OSQ060"
".","Missing",3046,3069,""
