"CIQDPN.Code.or.Value","CIQDPN.Value.Description","CIQDPN.Count","CIQDPN.Cumulative","CIQDPN.Skip.to.Item"
"1","Yes",0,0,"CIDDPRB"
"2","No",1,1,""
"7","Refuse",0,1,""
"9","Don't know",0,1,""
".","Missing",849,850,""
