"DR2IVB6.Code.or.Value","DR2IVB6.Value.Description","DR2IVB6.Count","DR2IVB6.Cumulative","DR2IVB6.Skip.to.Item"
"0 to 16.527","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
