"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"10 to 476","Range of Values",5902,5902,NA
".","Missing",499,6401,NA
