"WTSHM51.Code.or.Value","WTSHM51.Value.Description","WTSHM51.Count","WTSHM51.Cumulative","WTSHM51.Skip.to.Item"
"0.0000000 to 762569.1059500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
