"CFDFINSH.Code.or.Value","CFDFINSH.Value.Description","CFDFINSH.Count","CFDFINSH.Cumulative","CFDFINSH.Skip.to.Item"
"0 to 100","Range of Values",1558,1558,NA
".","Missing",314,1872,NA
